,id,name,price,price_ca,price_uk,price_au,discount,year_published,min_players,max_players,min_playtime,max_playtime,min_age,comment_count,num_user_ratings,average_user_rating,average_learning_complexity,average_strategy_complexity,visits,plays,listing_clicks,is_historical_low,players,playtime,name_lower,index
41,2WfoCjNxqx,Masters of the Universe: The Board Game - Clash For Eternia,0.00,107.89,0.00,149.95,0.00,2022.0,1.0,5.0,60.0,60.0,14.0,0,0,0.0,0.0,0.0,186,0,0,False,1-5,,masters of the universe: the board game - clash for eternia,
42,9OnVt5JodE,Okko Chronicles - Beyond the Gates of the Jigoku,0.00,0.00,71.56,65.00,0.00,,,,,,,0,0,0.0,0.0,0.0,185,0,0,False,,,okko chronicles - beyond the gates of the jigoku,
44,2cktJvaZFG,District 9: The Boardgame,0.00,0.00,103.99,200.00,0.00,2019.0,2.0,4.0,90.0,180.0,10.0,0,1,1.0,0.0,0.0,185,2,0,False,2-4,90-180,district 9: the boardgame,
45,IviNX37gTg,Dice Theme Park,41.97,52.89,0.00,0.00,0.30,2021.0,1.0,4.0,75.0,90.0,14.0,0,1,4.0,0.0,0.0,185,4,0,False,1-4,75-90,dice theme park,
46,sGsgymdal6,The Hedgehog Hop,10.95,10.95,0.00,0.00,0.00,,,,,,,0,3,3.8333333333333335,0.0,0.0,184,1,0,False,,,the hedgehog hop,
47,N792eG3UfI,Shiver Me Timbers,0.00,0.00,0.00,0.00,0.00,2019.0,2.0,4.0,90.0,150.0,13.0,0,0,0.0,0.0,0.0,184,5,0,False,2-4,90-150,shiver me timbers,
48,xYXGAohBcm,Miniatures of the Second Government of Inneath,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,183,0,0,False,,,miniatures of the second government of inneath,
49,m1H55Em9Ei,Token Sesame | The Transforming Token Holder for Board Games,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,183,0,0,False,,,token sesame | the transforming token holder for board games,
51,9WXJAmz7gU,Nova Lux,18.97,24.89,0.00,33.95,0.00,,,,,,,0,0,0.0,0.0,0.0,182,1,0,False,,,nova lux,
52,EMLiLzkVYC,Zipking - Drinking Game,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,181,0,0,False,,,zipking - drinking game,
53,SIyReNtn7j,BlizZone and Blitz&Roll (Fantasy football),0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,181,0,0,False,,,blizzone and blitz&roll (fantasy football),
54,E6DXBk4OJv,GrymmWorld - A 5th Edition Fairy-Tale Setting by Grant Ellis,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,181,0,0,False,,,grymmworld - a 5th edition fairy-tale setting by grant ellis,
55,ZPLGdx8mLx,The Quick and the Undead,29.47,36.65,0.00,0.00,0.30,,,,,,,0,0,0.0,0.0,0.0,181,1,0,False,,,the quick and the undead,
56,8YcNI4H1F6,Mothership RPG,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,181,0,0,False,,,mothership rpg,
57,TBXYSaMUMo,Civitas Nihilium,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,180,1,0,False,,,civitas nihilium,
58,l7nFUPysAu,Hangar and Bulwark - Wargaming & Skirmish Printable Terrain,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,180,0,0,False,,,hangar and bulwark - wargaming & skirmish printable terrain,
60,N3e40eZhDU,OrganATTACK!,42.89,0.00,0.00,34.95,-0.65,2016.0,2.0,6.0,10.0,45.0,10.0,0,10,3.3000000000000003,0.0,0.0,178,43,0,False,2-6,10-45,organattack!,
61,fkFO6h5vtz,Chronicles of Crime: The Millennium Series Bundle,0.00,119.99,0.00,0.00,0.00,2020.0,1.0,4.0,,,,0,0,0.0,0.0,0.0,178,0,0,False,1-4,,chronicles of crime: the millennium series bundle,
62,rzhL6L56Et,Lord of the Chords,70.00,89.95,0.00,0.00,0.00,2019.0,2.0,4.0,25.0,45.0,14.0,0,0,0.0,0.0,0.0,177,2,0,False,2-4,25-45,lord of the chords,
63,Os5gVkfuFC,Dragons of the Red Moon,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,177,0,0,False,,,dragons of the red moon,
64,C1FBfTtYCx,8-Bit Attack,15.99,34.99,18.00,0.00,0.47,2019.0,2.0,5.0,20.0,60.0,10.0,0,2,3.5,0.0,0.0,177,0,0,True,2-5,20-60,8-bit attack,
65,FplIPmFsFG,Animal Adventures: Secrets of Gullet Cove,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,176,0,0,False,,,animal adventures: secrets of gullet cove,
66,ByQBuLiQXK,In Magnificent Style: Pickett's Charge at Gettysburg - Deluxe Edition,56.99,0.00,0.00,0.00,0.24,2020.0,1.0,1.0,,,,0,0,0.0,0.0,0.0,176,0,0,True,1,,in magnificent style: pickett's charge at gettysburg - deluxe edition,
67,lMkrfkuk1M,Night Parade of a Hundred Yokai,0.00,0.00,49.99,0.00,0.00,2021.0,1.0,4.0,30.0,45.0,14.0,0,0,0.0,0.0,0.0,176,3,0,False,1-4,30-45,night parade of a hundred yokai,
68,ZXV58xqSNp,Mint Cooperative,9.99,12.59,11.92,11.66,0.33,2019.0,1.0,4.0,15.0,30.0,14.0,0,3,2.8333333333333335,0.0,0.0,175,28,0,False,1-4,15-30,mint cooperative,
69,xvgsNApXWA,Tapeworm,0.00,13.95,11.92,16.49,0.00,2020.0,2.0,4.0,,,,0,0,0.0,0.0,0.0,173,4,0,False,2-4,,tapeworm,
70,CJvhIRQ336,STRIKERZ Soccer Card Game,0.00,0.00,0.00,0.00,0.00,,2.0,2.0,,,,0,1,2.0,0.0,0.0,173,17,0,True,2,,strikerz soccer card game,
72,1rruBmI4JE,Potemkin Empire,14.79,0.00,0.00,43.95,0.00,2019.0,3.0,5.0,45.0,45.0,14.0,0,5,2.9,0.0,0.0,173,7,0,False,3-5,45,potemkin empire,
73,EqtW1KNGc1,Escape from Skullcano Island,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,173,0,0,False,,,escape from skullcano island,
76,3YKMCbqn8a,The Matchbox Collection,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,172,0,0,False,,,the matchbox collection,
77,5qmurxgmvv,Vaesen,38.54,0.00,0.00,0.00,0.23,2019.0,,,,,,0,0,0.0,0.0,0.0,171,0,0,False,,,vaesen,
