;average_learning_complexity;average_strategy_complexity;average_user_rating;comment_count;discount;id;is_historical_low;listing_clicks;max_players;max_playtime;min_age;min_players;min_playtime;name;num_user_ratings;players;plays;playtime;price;price_au;price_ca;price_uk;visits;year_published;name_lower
9;0.0;0.0;3.0;0;0.64;XSzeC3evOJ;True;0;4.0;30.0;14.0;1.0;15.0;Mutant Crops;6;1-4;8;15-30;8.99;0.00;21.95;0.00;159;2016.0;mutant crops
10;0.0;0.0;2.0;0;0.00;orqKZ12ukt;False;0;10.0;180.0;8.0;2.0;60.0;Monopoly: Canadian Edition;1;2-10;0;60-180;0.00;0.00;0.00;0.00;159;1982.0;monopoly: canadian edition
11;0.0;0.0;2.0;0;0.00;mjfirVCjHV;False;0;6.0;60.0;8.0;2.0;60.0;Monopoly: Pokémon Kanto Edition;1;2-6;0;60;0.00;0.00;0.00;0.00;159;2014.0;monopoly: pokémon kanto edition
13;0.0;0.0;4.5;0;0.13;vin1Mwi87I;False;0;5.0;90.0;14.0;2.0;60.0;Free Radicals;1;2-5;1;60-90;51.99;0.00;61.99;47.70;153;2021.0;free radicals
14;0.0;0.0;0.0;0;0.18;t31Vwpo1eU;False;0;4.0;90.0;12.0;2.0;60.0;Salt & Sail;0;2-4;0;60-90;39.95;0.00;0.00;0.00;150;2021.0;salt & sail
15;0.0;0.0;0.0;0;0.00;dwQF9QFrBg;False;0;6.0;120.0;8.0;2.0;120.0;Monopoly: Snowboarding Edition;0;2-6;0;120;0.00;0.00;0.00;0.00;150;2005.0;monopoly: snowboarding edition
18;0.0;0.0;0.0;0;0.00;C4pKs5etqA;False;0;5.0;120.0;14.0;1.0;60.0;Barrage: Kickstarter exclusive box;0;1-5;1;60-120;0.00;0.00;0.00;0.00;146;2019.0;barrage: kickstarter exclusive box
19;0.0;0.0;0.0;0;0.00;p991JonFxN;False;0;4.0;90.0;10.0;1.0;60.0;Hamlet;0;1-4;1;60-90;0.00;0.00;69.95;0.00;145;2022.0;hamlet
20;0.0;0.0;3.0;0;0.28;F3ebt2t3tG;False;0;5.0;45.0;12.0;3.0;30.0;Profiteers;1;3-5;3;30-45;17.99;19.40;10.95;15.99;142;2018.0;profiteers
21;0.0;0.0;0.0;0;0.34;Ghpoijzv0D;True;0;5.0;240.0;14.0;3.0;180.0;Horseless Carriage;0;3-5;0;180-240;109.00;299.95;157.95;0.00;140;2022.0;horseless carriage
22;0.0;0.0;1.0;0;0.00;nvDqy19tD0;False;0;6.0;0.0;0.0;2.0;0.0;Monopoly: Fallout Collector's Edition;2;2-6;0;;0.00;0.00;0.00;26.71;138;2015.0;monopoly: fallout collector's edition
23;0.0;0.0;3.0;0;0.00;HHATr615Mf;True;0;4.0;60.0;10.0;2.0;45.0;Ophir Board Game;6;2-4;9;45-60;0.00;0.00;0.00;0.00;137;2015.0;ophir board game
25;0.0;0.0;1.9722222222222223;0;0.20;SeJEH7Hnkt;False;0;4.0;45.0;5.0;2.0;45.0;Monopoly Junior;18;2-4;39;45;11.99;25.00;23.95;13.51;134;1990.0;monopoly junior
27;0.0;0.0;0.0;0;0.00;JHysSrEdxF;False;0;;;;;;Monopoly: Tehran, Iran Edition (AKA Iropoly);0;;0;;0.00;0.00;0.00;0.00;128;;monopoly: tehran, iran edition (aka iropoly)
29;0.0;0.0;4.0;0;0.00;2F25R5GZMG;False;0;6.0;;8.0;2.0;;Monopoly: Pokémon Johto Edition;1;2-6;0;;0.00;0.00;0.00;0.00;125;2016.0;monopoly: pokémon johto edition
30;0.0;0.0;0.0;0;0.00;KJB6WNXzJt;False;0;6.0;150.0;8.0;2.0;90.0;Monopoly: Firefly;0;2-6;0;90-150;0.00;0.00;0.00;0.00;124;2015.0;monopoly: firefly
31;0.0;0.0;0.0;0;-3.00;yWa1ETUF7y;False;0;6.0;0.0;8.0;2.0;0.0;Monopoly: Cthulhu;0;2-6;0;;159.99;0.00;0.00;0.00;123;2016.0;monopoly: cthulhu
32;0.0;0.0;0.0;0;0.35;RxGmQMuVRU;False;0;6.0;240.0;8.0;2.0;60.0;Monopoly: Cheaters Edition;0;2-6;8;60-240;12.96;25.00;29.99;0.00;122;2018.0;monopoly: cheaters edition
33;0.0;0.0;2.0;0;-0.88;XgBFwJABOA;False;0;8.0;120.0;8.0;2.0;120.0;Monopoly: National Parks Edition;1;2-8;1;120;74.95;0.00;0.00;0.00;121;1998.0;monopoly: national parks edition
34;0.0;0.0;3.0;0;-0.00;ZUqr39SRti;False;0;6.0;;;2.0;;Monopoly: Game of Thrones Collector's Edition;3;2-6;4;;59.98;34.97;86.59;25.44;120;2015.0;monopoly: game of thrones collector's edition
35;0.0;0.0;0.0;0;0.00;9jJEn7h37T;False;0;6.0;180.0;6.0;2.0;120.0;Monopoly: Warhammer 40,000;0;2-6;0;120-180;0.00;0.00;0.00;0.00;120;2018.0;monopoly: warhammer 40,000
37;0.0;0.0;2.25;0;0.00;lkNGeijI1R;False;0;4.0;60.0;8.0;2.0;20.0;Monopoly: Star Wars;2;2-4;6;20-60;47.44;0.00;0.00;0.00;116;2015.0;monopoly: star wars
38;0.0;0.0;0.0;0;-0.75;ihgnZrGlQP;False;0;6.0;180.0;13.0;2.0;60.0;Monopoly: The Walking Dead - Survival Edition;0;2-6;0;60-180;69.99;45.00;0.00;20.34;115;2013.0;monopoly: the walking dead - survival edition
41;0.0;0.0;3.1590909090909087;0;0.00;zPdo2pcoGz;False;0;3.0;15.0;8.0;2.0;15.0;Monopoly Deal;22;2-3;116;15;0.00;9.95;7.95;4.99;115;2014.0;monopoly deal
43;0.0;0.0;0.0;0;0.00;vMsLHNVpyc;False;0;6.0;0.0;8.0;2.0;120.0;Monopoly: Yu-Gi-Oh!;0;2-6;0;;0.00;0.00;0.00;0.00;114;2016.0;monopoly: yu-gi-oh!
44;0.0;0.0;1.7777777777777777;0;0.00;C0U3xABMDb;False;0;6.0;120.0;8.0;2.0;120.0;Anti-Monopoly;9;2-6;6;120;33.00;0.00;30.59;0.00;114;1973.0;anti-monopoly
45;0.0;0.0;3.1666666666666665;0;0.00;0XFcIoANjf;False;0;4.0;60.0;8.0;2.0;45.0;Monopoly Gamer: Mario Kart;9;2-4;31;45-60;45.95;0.00;0.00;0.00;114;2018.0;monopoly gamer: mario kart
